단어,발음기호,한국어발음,분류,품사,뜻,예문,예문해석,예문2,예문2해석,예문3,예문3해석,예문4,예문4해석
age,/eɪdʒ/,[에]이지,1-1 Age and Life Stages 연령과 생애 단계,명/동,명: 나이; 연령 / 동: 나이가 들다; 노화하다,The survey groups customers by **age**.,그 설문은 고객을 연령별로 분류한다.,"My parents are **aging**, so I spend more time with them.",부모님이 나이가 들어 가셔서 나는 부모님과 더 많은 시간을 보낸다.,,,,
young,/jʌŋ/,[영],1-1 Age and Life Stages 연령과 생애 단계,형,어린; 젊은,"She is **young**, but she has a lot of work experience.",그녀는 젊지만 업무 경험이 많다.,,,,,,
old,/oʊld/,[오]울드,1-1 Age and Life Stages 연령과 생애 단계,형,늙은; 나이 든,"My grandfather is **old**, but he still exercises every day.",우리 할아버지는 나이가 많지만 아직도 매일 운동하신다.,,,,,,
newborn,/ˈnuːbɔːrn/,[누]ː본ː,1-1 Age and Life Stages 연령과 생애 단계,명/형,명: 갓난아기 / 형: 갓 태어난,The **newborn** was sleeping in her mother's arms.,갓난아기는 엄마의 품에서 자고 있었다.,Our company offers extra leave to employees with **newborn** babies.,우리 회사는 갓 태어난 아기가 있는 직원에게 추가 휴가를 제공한다.,,,,
infant,/ˈɪnfənt/,[인]펀트,1-1 Age and Life Stages 연령과 생애 단계,명/형,명: 유아; 갓난아기 / 형: 유아의,The airline provides special seat belts for **infants**.,그 항공사는 유아용 특수 안전벨트를 제공한다.,The store sells **infant** clothes and baby food.,그 상점은 유아복과 이유식을 판매한다.,,,,
toddler,/ˈtɑːdlər/,[타]ː들러,1-1 Age and Life Stages 연령과 생애 단계,명,아장아장 걷는 아기; 유아,The **toddler** is learning to walk.,그 아기는 걸음마를 배우고 있다.,,,,,,
teenager,/ˈtiːneɪdʒər/,[티]ː네이저,1-1 Age and Life Stages 연령과 생애 단계,명,십대,My son became a **teenager** this year.,내 아들은 올해 십대가 되었다.,,,,,,
teenaged,/ˈtiːneɪdʒd/,[티]ː네이지드,1-1 Age and Life Stages 연령과 생애 단계,형,십대의,The program is for **teenaged** students.,그 프로그램은 십대 학생을 위한 것이다.,,,,,,
adolescent,/ˌædəˈlesnt/,애덜[레]슨트,1-1 Age and Life Stages 연령과 생애 단계,명/형,명: 청소년 / 형: 청소년의; 사춘기의,The **adolescent** joined a weekend sports program.,그 청소년은 주말 스포츠 프로그램에 참여했다.,The clinic provides care for **adolescent** patients.,그 병원은 청소년 환자를 진료한다.,,,,
adult,/əˈdʌlt/,어[덜]트,1-1 Age and Life Stages 연령과 생애 단계,명/형,명: 성인 / 형: 성인의; 성인용의,Every **adult** needs a ticket.,모든 성인은 표가 필요하다.,This program is for **adult** learners.,이 프로그램은 성인 학습자를 위한 것이다.,,,,
grown-up,/ˈɡroʊnʌp/,[그]로운업,1-1 Age and Life Stages 연령과 생애 단계,명/형,명: 어른 / 형: 다 자란; 성숙한,Ask a **grown-up** for help.,어른에게 도움을 요청하세요.,He has a **grown-up** son.,그에게는 다 자란 아들이 있다.,,,,
youth,/juːθ/,[유]ː쓰,1-1 Age and Life Stages 연령과 생애 단계,명,청년; 젊음; 청춘,The program supports local **youth**.,그 프로그램은 지역 청년을 지원한다.,,,,,,
middle-aged,/ˌmɪdl ˈeɪdʒd/,미들 [에]이지드,1-1 Age and Life Stages 연령과 생애 단계,형,중년의,The course is popular with **middle-aged** workers.,그 강좌는 중년 직장인에게 인기가 많다.,,,,,,
mature,/məˈtʃʊr/,머[추]어,1-1 Age and Life Stages 연령과 생애 단계,형/동,형: 성숙한 / 동: 성숙하다; 익다,She is **mature** for her age.,그녀는 나이에 비해 성숙하다.,The fruit will **mature** in a few days.,그 과일은 며칠 안에 익는다.,,,,
aged,/eɪdʒd/,[에]이지드,1-1 Age and Life Stages 연령과 생애 단계,형,나이 든; ~세의,The program is for people **aged** sixty and over.,그 프로그램은 60세 이상인 사람을 위한 것이다.,,,,,,
elderly,/ˈeldərli/,[엘]덜리,1-1 Age and Life Stages 연령과 생애 단계,형,나이 든; 고령의,The center provides meals for **elderly** residents.,그 센터는 고령 주민에게 식사를 제공한다.,,,,,,
senior,/ˈsiːniər/,[시]ː니어,1-1 Age and Life Stages 연령과 생애 단계,명/형,명: 연장자; 노인 / 형: 고령의; 연장자의,The center offers free classes for **seniors**.,그 센터는 노인을 위한 무료 수업을 제공한다.,The company has a special plan for **senior** employees.,그 회사에는 고령 직원을 위한 특별 제도가 있다.,,,,
family,/ˈfæməli/,[패]멀리,1-2 Family and Relatives 가족과 친척,명/형,명: 가족; 가정 / 형: 가족의; 가정용의,My **family** gathers for dinner every Sunday.,우리 가족은 매주 일요일 저녁 식사를 위해 모인다.,The company offers a **family** health plan.,그 회사는 가족 건강보험을 제공한다.,,,,
parents,/ˈperənts/,[페]런츠,1-2 Family and Relatives 가족과 친척,명,부모,My **parents** live in a quiet town near the coast.,우리 부모님은 해안 근처의 조용한 마을에 사신다.,,,,,,
father,/ˈfɑːðər/,[파]ː더,1-2 Family and Relatives 가족과 친척,명,아버지,My **father** taught me how to ride a bicycle.,아버지는 내게 자전거 타는 법을 가르쳐 주셨다.,,,,,,
